NUMERODOSSIER;iddebiteur
13590393;8326
13590431;8327
13590661;8328
13590899;8329
13591054;8330
13591056;8331
13591272;8332
13591380;8333
13591432;8334
13591491;8335
13591586;8336
13591834;8337
13591843;8338
13591958;8339
13591973;8340
13592043;8341
13592107;8342
13592164;8343
13592258;8344
13592628;8345
13592655;8346
13592700;8347
13592774;8348
13592822;8349
13592944;8350
13593085;8351
13593109;8352
13593131;8353
13593198;8354
13593211;8355
13593219;8356
13593257;8357
13593332;8358
13593627;8359
13593801;8360
13593821;8361
13593885;8362
13593914;8363
13593954;8364
13594080;8365
13594217;8366
13594316;8367
13594432;8368
13594451;8369
13594499;8370
13594674;8371
13594908;8372
13594993;8373
13595027;8374
13595050;8375
13595075;8376
13595170;8377
13595173;8378
13595198;8379
13595408;8380
13595465;8381
13595624;8382
13595833;8383
13595883;8384
13595949;8385
13596039;8386
13596078;8387
13596094;8388
13596174;8389
13596191;8390
13596379;8391
13596408;8392
13596461;8393
13596464;8394
13596536;8395
13596612;8396
13596613;8397
13596615;8398
13596646;8399
13596706;8400
13596862;8401
13596931;8402
13597065;8403
13597208;8404
13597304;8405
13597666;8406
13597798;8407
13597840;8408
13598055;8409
13598058;8410
13598095;8411
13598113;8412
13598235;8413
13598275;8414
13598309;8415
13598388;8416
13598475;8417
13598740;8418
13598962;8419
13599146;8420
13599229;8421
13599235;8422
13599286;8423
13599388;8424
13599419;8425
13599522;8426
13599583;8427
13599608;8428
13599886;8429
13599951;8430
13600090;8431
13600097;8432
13600173;8433
13600458;8434
13600761;8435
13600808;8436
13600916;8437
13601164;8438
13601333;8439
13601377;8440
13601409;8441
13601505;8442
13601730;8443
13601858;8444
13601889;8445
13601954;8446
13602008;8447
13602020;8448
13602234;8449
13602273;8450
13602286;8451
13602588;8452
13602900;8453
13602933;8454
13603090;8455
13603159;8456
13603173;8457
13603255;8458
13603371;8459
13603400;8460
13603478;8461
13603583;8462
13603594;8463
13603620;8464
13603626;8465
13603646;8466
13603736;8467
13603749;8468
13603828;8469
13603970;8470
13604011;8471
13604022;8472
13604058;8473
13604142;8474
13604241;8475
13604340;8476
13604409;8477
13604572;8478
13604658;8479
13604667;8480
13604669;8481
13604709;8482
13604767;8483
13604872;8484
13604905;8485
13604910;8486
13604989;8487
13605022;8488
13605024;8489
13605147;8490
13605309;8491
13605435;8492
13605519;8493
13605540;8494
13605555;8495
13605722;8496
13605818;8497
13605957;8498
13606073;8499
13606309;8500
13606320;8501
13606348;8502
13606453;8503
13606477;8504
13606516;8505
13606546;8506
13606593;8507
13606619;8508
13606683;8509
13606773;8510
13606838;8511
13607021;8512
13607061;8513
13607110;8514
13607326;8515
13607465;8516
13607605;8517
13607651;8518
13607662;8519
13607720;8520
13607773;8521
13608235;8522
13608238;8523
13608271;8524
13608301;8525
13608460;8526
13608479;8527
13608696;8528
13608788;8529
13608789;8530
13608865;8531
13609021;8532
13609068;8533
13609137;8534
13609515;8535
13609548;8536
13609663;8537
13609675;8538
13609702;8539
13609902;8540
13609967;8541
13610124;8542
13610185;8543
13610300;8544
13610421;8545
13610503;8546
13610529;8547
13610601;8548
13610604;8549
13610781;8550
13610811;8551
13610812;8552
13610973;8553
13611005;8554
13611071;8555
13611102;8556
13611109;8557
13611415;8558
13611595;8559
13611736;8560
13611750;8561
13611790;8562
13611865;8563
13611967;8564
13612160;8565
13612190;8566
13612279;8567
13612294;8568
13612479;8569
13612684;8570
13612785;8571
13612834;8572
13612882;8573
13612896;8574
13612900;8575
13612914;8576
13612949;8577
13612983;8578
13613090;8579
13613092;8580
13613253;8581
13613372;8582
13613406;8583
13613504;8584
13613517;8585
13613521;8586
13613818;8587
13614101;8588
13614183;8589
13614197;8590
13614260;8591
13614416;8592
13614422;8593
13614741;8594
13614912;8595
13614993;8596
13615089;8597
13615200;8598
13615213;8599
13615295;8600
13615317;8601
13615441;8602
13615602;8603
13615764;8604
13615888;8605
13615917;8606
13616108;8607
13616177;8608
13616236;8609
13616464;8610
13616466;8611
13616531;8612
13616546;8613
13616562;8614
13616941;8615
13616946;8616
13617017;8617
13617150;8618
13617169;8619
13617308;8620
13617373;8621
13617432;8622
13617433;8623
13617593;8624
13617622;8625
13617716;8626
13617747;8627
13617859;8628
13617902;8629
13617906;8630
13617940;8631
13617948;8632
13617981;8633
13618010;8634
13618014;8635
13618168;8636
